"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50"
"g299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.929,0,0,0,186.472,0,0,0,0,0,0,0,0,0.532,0,0,0,0,0
"g300",0,0,0,0,0,24.415,494.34,0,346.862,687.305,402.155,0,38.327,1.251,0,0,592.138,0,9.932,0,69.711,1.448,1.352,0,278.28,1.89,404.135,1100.249,0,0,324.996,1.732,369.555,0.811,0.836,0,0.836,0,0,0,0,0,0,1416.914,153.334,258.164,0,0,188.367,0
"g301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g302",21.233,169.619,78.851,152.841,80.185,0,644.906,18.506,131.782,19.67,101.221,0,0,38.361,19.694,243.966,8.621,228.467,1.799,196.386,0.908,19.258,0,0,2.577,0,0,46.577,0.902,38.633,99.399,908.778,30.504,0,511.843,49.567,0,2.507,0,1.968,0,220.447,35.253,512.804,192.863,37.07,182.269,0.985,835.91,301.546
"g303",5.705,42.944,89.226,161.216,366.753,6.197,367.932,5.922,404.063,0,136.79,47.083,2.918,185.088,173.019,11.608,339.493,164.751,584.35,90.289,257.722,2458.55,26.168,355.328,5.206,408.436,1.768,114.865,29.664,4.391,155.371,774.651,286.597,1792.495,567.573,104.931,205.274,17.547,47.863,0,175.238,21.121,22.503,1.578,369.072,24.216,397.512,681.32,23.263,24.187
"g304",617.162,150.344,168.098,175.872,376.252,6.197,1012.87,6.169,546.965,527.311,205.827,2.354,159.026,569.29,207.351,2744.536,447.118,99.569,0,333.766,265.955,36.205,183.728,223.943,29.639,137.084,199.787,66.282,1235.441,7.904,205.553,731.936,299.367,271.808,149.325,98.416,20.904,128.122,0,0,0,54.122,295.695,280.847,414.764,173.282,309.583,17.735,220.221,15.204
"g305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g306",2.958,23.708,38.118,15.221,148.034,36.189,1410.48,19.339,36.642,148.135,7.102,63.797,2.145,7.806,17.121,37.841,812.777,22.515,20.872,30.272,23.6,19.034,36.746,22.82,839.621,48.257,121.994,1373.976,2403.53,100.433,4.623,65.47,174.08,3.735,42.6,0,62.542,373.627,7.099,39.611,32.837,1.742,20.468,2206.202,3.254,35.622,5.496,134.423,0,93.72
"g307",1.416,185.038,62.251,0,18.504,6.197,548.345,2745.602,231.568,43.115,255.235,251.988,0,95.406,0,0,35.057,43.224,6953.053,318.258,342.346,5.392,51.614,503.083,140.487,0,491.511,580.417,466.882,26.162,248.015,0,83.674,116.83,0,17.959,570.371,129.517,0,0,0,530.274,182.422,644.675,406.24,288.803,0.916,0.985,0,634.311
"g308",867.707,7.71,0,416.65,458.493,30.984,464.736,8037.276,858.245,5.62,17.423,207.165,809.718,324.616,463.682,0,5.747,761.043,55.777,108.012,765.123,838.715,615.489,945.986,1531.178,1.852,594.057,64.491,135.37,23.712,0.965,131.61,112.525,2.384,0.774,103.451,910.803,120.325,29.433,1.968,1021.922,7.92,400.894,210.647,255.229,554.329,18.319,376.382,10.856,478.926
"g309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724,0,0,0,0
"g310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g312",1.458,3.971,0,2.157,0,30.984,0,9.808,1.139,0.946,0,1530.149,14.954,1.239,0,0,0.592,1.683,14.394,0,0,0.77,0,0,51.262,0,0,294.221,0,1.756,32.811,1.189,0,0,0.774,0.402,0,0,0,0,7.894,5.28,0.659,0,114.034,3.448,4.58,1.005,1.551,0
"g313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
