"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50"
"g469",92.008,3.855,304.884,338.47,0,12.393,791.149,267.478,199.55,335.293,665.562,0,39.144,0,570.714,0,55.66,0,0,415.546,238.715,12.325,0,0,24.484,36.883,622.274,543.174,17.147,226.581,159.318,159.998,86.525,975.362,0,421.693,939.67,54.756,1425.747,68.538,0,50.162,555.438,6.477,104.719,16.38,462.597,0,17.059,1507.805
"g470",45.48,6.669,213.686,43.047,53.436,13.323,8.426,3.084,162.288,43.349,13.408,74.532,14.604,182.808,1.452,0,17.235,173.226,9.212,73.322,557.996,0.778,28.504,6.371,2.951,303.141,52.404,129.77,0,23.975,161.403,75.479,2.029,4.769,16.008,110.254,67.867,80.702,185.938,1.869,0.553,1.28,175.178,4.749,462.556,1.733,121.882,1.104,28.706,174.643
"g471",557.937,3292.758,30.565,667.791,371.091,18.59,3.151,129.544,192.975,5.067,989.321,4.661,1798.303,129.79,235.746,81.167,32.792,284.064,7.665,919.986,616.788,5.685,225.802,688.073,662.305,520.863,885.41,816.973,150.071,33.697,1895.248,20.238,226.462,1467.756,279.632,1442.664,1154.808,66.655,37.388,5.766,3538.499,46.584,93.766,318.645,995.177,223.465,705.327,325.432,28.846,1914.981
"g472",2.038,112.218,14.504,12.52,5.469,5.701,7.031,3.084,3.361,7.016,5.824,46.918,0,0,2.548,16.251,0,2.431,2.141,2.721,4.357,1.679,1.457,0,2.783,2.908,7.054,7.058,0,6.806,2.76,8.07,0.709,25.146,5.88,0.963,4.499,2.473,0,45.79,1.579,12.422,12.572,2.106,0.58,10.259,16.12,5.468,17.261,9.3
"g473",0,0,58.101,0,4.112,6.197,90.926,185.063,360.79,13.113,53.1,1230.324,1.459,20.234,1110.753,20.314,0,0,5.398,36.472,1.815,1.541,1.312,69.391,0,88.03,0,23.288,0.902,0.878,0,53.106,0.709,0,0,0.718,0,28.41,49.343,0,1.579,66.649,0,0,1.063,0,35.721,2.956,4.653,0
"g474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.855,0,0,0,0,0,20.523,0,0,0,0,3.448,0,92.617,0,79.834
"g475",0,0,0,0,0,0,0,0,0,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g476",411.984,22.436,134.918,171.517,279.578,5409.747,702.887,166.958,38.446,2982.135,192.552,2581.675,50.188,825.003,4451.7,1799.288,21.275,1110.667,12.595,31.373,607.82,6.162,1610.848,656.058,1.289,64.522,350.882,5.374,10.839,548.914,41.526,4.629,82.602,2632.637,33.749,107.955,465.992,1106.376,7.843,17.71,306.272,22.441,127.623,1017.694,88.862,1919.531,2119.167,3.941,141.128,0
"g477",1.416,3.855,8.3,301.977,419.367,18.59,2.115,3.084,9.259,0,1.659,11.771,172.156,0,1.274,2.902,0.575,1.544,0,0,1.815,480.605,0,0,51.326,0,0,2.418,22.562,636.06,0,0,0,1.59,0.774,2.873,0.995,132.024,0,17.71,14.208,11.88,50.709,2.367,3.19,275.871,175.858,12.809,9.305,8.869
"g478",0,0,1.038,0,1.563,0,0,0,0,0,0,0,0,1.474,0,0,0,0,1.799,0,0,0,1.575,1.262,0,0,0.76,0,0.902,0,0,0,0,0,0,0.359,0,0,0,0,0,2.006,0,0,0.532,0,0,0,0,0
"g479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g480",0,7.71,2.075,521.377,347.468,30.984,1118.407,15.422,0,139.565,55.589,0,14.633,106.421,0,0,2117.274,0.772,35.985,446.078,1.815,519.19,2.625,739.643,259.195,322.332,0,379.779,208.47,197.6,0.965,53.106,672.511,138.288,59.575,2.873,0,119.49,289.074,13.774,23.681,402.613,107.346,2773.554,5.317,1416.247,43.964,5.912,24.814,449.785
"g481",0,0,0,16.75,0,0,0,0,0,0,0,0,5.836,0,0,0,0,0,0,0.701,3.631,0,0,0,0,0,0,0,0,0,8.685,0,0,0,0,0.718,2.986,6.685,0,0,20.523,2.64,0,0.789,8.508,0,0,0,0,2.534
"g482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g484",35.388,1225.879,385.955,301.37,80.185,12.393,8.458,3.084,152.251,0.937,384.972,59.748,500.42,0,0,8.706,653.924,287.9,5.398,37.173,191.714,91.667,0,0,1.289,8.373,1.768,632.368,158.834,28.981,440.057,1032.064,1394.75,11.921,727.281,358.463,0.995,38.437,459.197,0,3.157,43.548,223.253,1526.932,425.712,17.242,377.398,1543.648,113.864,108.962
"g485",0,0,0,7.663,2.056,18.59,0,9.253,2.346,7.484,0,2.331,0,0,0,0,0.575,0.973,25.19,0,2.469,0,0,0,7.706,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g486",0,0,0,0,0,0,1.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.995,232.897,0,0,0,0,0
"g487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.448,0,0,0,0,673.196,0,0,0,0,0,0,0,0,0,176.886,0,0,0,0,0,0,0,0
"g488",0,34.695,338.188,2.094,10.28,6.197,1210.084,15.422,327.058,9.367,70.523,16.479,770.326,469.968,2.548,37.725,0,72.554,0,223.039,94.4,402.873,0,0,0,48.165,3.536,5.374,290.242,18.443,296.296,850.8,475.51,1382.089,1014.317,1716.777,162.252,235.495,515.846,0,0,29.041,3.293,8.678,414.796,1305.898,0.916,392.146,0,19.005
"g489",24.064,38.55,10.375,2.094,8.224,12.393,88.737,15.422,5.639,2.81,10.786,13.348,5.836,2.478,8.917,29.019,3.448,7.718,19.792,106.61,3.631,3.081,6.562,17.348,2.577,209.22,1.768,25.331,10.83,7.904,6.755,0,1.419,3.974,10.832,3.592,12.94,9.192,23.373,1.968,20.523,25.041,5.927,11.834,3.722,5.173,7.327,11.824,10.856,20.272
"g490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g491",7.078,73.244,0,2.094,0,0,0,126.491,5.639,10.303,0,169.499,0,1.239,247.134,0,0.667,0,41.437,0.701,0,0,0,12.617,5.193,3.705,30.056,1.791,8.122,0.869,13.511,0,0,0,0.774,1.437,0,0.836,0.866,0,0,76.378,1.317,0,2.659,0.862,0.916,0,3.102,0
"g492",0,3.855,85.076,349.651,176.818,3649.875,1.057,410.193,0,262.269,0,0,0,18.586,81.529,83.924,44.252,96.481,8.996,0,3.631,6.933,0,315.413,213.913,83.362,5.304,64.491,14.439,7.904,18.336,0,6.385,2.384,2.321,6.465,0,154.585,0,15.742,644.118,3.96,75.735,14.99,10.635,0,17.403,4.926,4.653,72.219
"g493",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g495",22.648,0,8.3,25.125,201.49,0,0,12.338,1.128,10.303,355.104,7.062,1.459,0,960.511,0,29.31,0,8.996,1.403,4.538,65.476,196.851,0,0,625.992,5.304,59.117,3.61,33.372,0.965,0,0,2.384,64.991,0.718,0,37.602,0,3.936,69.464,35.641,28.977,0,0,1.724,3.664,0,274.501,0
"g496",0,67.732,2.137,4.501,0,0,0,21.622,1.128,0,1.311,20.057,1.459,1.251,3.809,0,1.856,0,0,1.431,0,0.293,0,0,0,7.354,2.864,3.869,0,9.731,3.783,1.651,0.752,0.803,0,2.744,6.281,1.521,0,27.549,0,16.949,4.103,0.789,2.095,1.552,6.018,5.931,0,6.956
"g497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g499",1327.592,38.665,727.567,94.992,1000.481,1372.018,265.048,101.816,1215.64,11.568,1652.087,49.461,251.348,707.517,926.982,127.279,548.265,2675.691,946.687,528.216,546.169,2892.79,820.254,310.681,492.966,1713.882,438.824,1054.46,531.571,2294.912,343.631,18.956,1813.395,1203.419,1103.262,487.703,804.851,1381.838,3235.049,45.81,15.503,393.795,365.048,914.635,477.497,971.688,362.313,509.731,29.435,53.125
"g500",5.662,23.13,188.827,0,2.056,68.164,3.172,34.021,130.575,1.873,2.24,1192.917,14.59,8.673,0,17.412,243.484,175.217,12.595,288.267,180.631,0.77,2.625,2.444,1.289,648.37,70.774,2501.401,88.884,128.22,53.077,0,90.094,6.358,97.371,1.437,1.991,481.929,0,563.217,9.472,41.977,49.392,79.651,8.508,1.767,515.941,31.214,21.712,1.267
"g501",0,5.474,49.697,63.586,0,6.197,2.115,6.169,389.424,0.937,268.004,2.354,0,29.737,0,11.347,0,318.002,17.993,0,0,0.77,52.074,1.577,1.289,0,684.226,0,0,2.635,54.032,1.154,0,0.795,1.547,0.718,0.995,0,0,11.807,1.579,58.082,3.293,1.578,8.688,6.035,34.805,10.838,26.365,0
"g502",0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g504",1.331,0,0,0,0,6.135,1.057,0,3.147,0.094,0,9.134,1.371,0.335,0,0,0,0.648,0,0,0.871,2.311,0,0,1.121,0,0,2.58,0,1.677,1.525,0,1.419,0,1.547,0,0.567,0,0,16.667,0,0,0,0,5.317,0,0,0.778,0,2.407
"g505",561.66,19.275,6.225,23.031,257.003,0,468.859,117.207,368.978,772.758,500.887,4.708,1018.348,727.094,396.179,46.431,0.575,460.794,0,0,332.198,0.77,0,1849.816,407.014,87.067,3.536,395.902,217.819,0,503.721,3.463,1.419,627.344,0,0,15.927,3.342,17.305,0,0,2.64,277.242,24.457,95.179,183.808,14.655,21.676,167.492,292.677
"g506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g507",830.904,38.473,186.752,4.187,90.465,24.787,6.344,348.536,57.517,961.03,3.319,3133.393,140.059,69.386,61.147,406.271,1.149,769.518,568.642,348.495,188.8,15.63,5.249,7.885,68.297,53.722,442.007,12.54,3.61,2.635,14.891,1.154,0,0.795,132.303,747.24,444.939,48.464,15.582,616.033,0,77.882,5.927,256.627,53.173,349.15,1.832,39.412,41.873,461.188
"g508",324.392,1184.708,580.779,39.236,378.863,657.473,2033.701,67.857,2341.171,6.388,1526.987,23.73,154.926,396.617,622.931,4045.243,266.483,555.731,846.827,173.241,364.004,666.481,240.159,156.508,344.748,507.192,213.931,252.822,840.982,619.18,556.335,31.944,450.859,7.948,11.474,1008.3,834.634,793.321,2.597,174.896,44.267,707.859,111.758,30.485,543.633,150.307,966.787,26.12,1889.126,6.069
"g509",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g510",62.282,0,0,0,20.56,0,0,0,0,0,82.968,0,0,0,0,0,1.724,0,0,0,0,0,0,0,0,0,0,0,999.094,0,0,504.505,0.709,0,0.774,1.437,0,0,58,0,0,0,0,0.789,18.61,0,0.916,0.985,0,79.808
"g511",80.684,0,33.2,106.78,0,0,617.237,3.084,25.939,2.81,0,0,68.571,0,163.058,0,0.575,117.985,0,0,0,0,0,0,0,0,0,37.62,15.342,317.116,0,235.512,0,0.795,2.321,0,0.995,0,0,0,1.579,73.922,0,0,5.317,0,0,0,1.551,0
"g512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g513",3805.61,12118.164,2560.584,1551.444,3053.111,25559.969,427.16,18226.841,3369.779,2694.547,3328.857,2660.186,3206.775,2635.18,5453.573,1871.75,3331.389,1529.033,70.172,7522.971,5516.614,9858.317,7536.588,9638.773,2940.657,2787.971,2876.79,2710.692,3892.104,6082.306,2564.608,2063.078,7382.301,3939.136,3175.115,4807.801,990.306,4551.537,5967.089,72.808,546.206,1804.551,6387.493,2306.934,3154.519,2916.703,3195.892,3532.51,5001.503,3351.087
"g514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g515",1196.19,15.921,500.372,477.367,77.204,38.358,32.035,3120.232,2708.615,45.682,331.292,58.312,1304.317,468.965,473.873,26.059,1726.817,1157.403,20.944,876.739,781.888,1918.099,61.037,946.317,1957.689,427.683,424.379,82.96,48.878,21.754,12.825,2145.888,489.259,97.08,375.687,237.921,299.131,458.081,474.129,42.347,7.894,85.354,1306.292,662.703,389.475,253.293,16.313,50.654,92.772,313.329
"g516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g517",3468.478,1859.906,1466.339,2129.289,2616.104,8220.646,4021.126,1281.164,2627.764,3773.055,2046.21,764.815,3609.212,2183.711,2207.085,14410.557,3390.002,1688.697,2972.596,2204.892,1645.787,4804.996,2078.699,2825.876,3383.495,1917.247,2635.49,2114.671,3367.139,4828.269,1621.959,4022.992,1631.746,2419.728,2804.735,1981.464,1887.531,3341.046,1962.785,2702.527,1511.562,6190.721,2626.144,1360.063,1967.5,1559.751,1609.152,4771.161,1510.764,2168.432
"g518",0,7.71,0,4.187,0,0,2.115,0,0,26.227,121.963,0,7.295,0,0,0,0.575,223.875,0,1.403,0,9.244,0,0,0,34.993,1.768,0,16.244,107.995,0,12.699,145.427,0,311.872,0,0,0,0,0,0,0,0,0,0.532,0,0,0.985,0,2.395
"g519",734.578,3037.521,591.362,4.187,450.269,0,4.229,2115.893,267.545,0.937,778.532,101.228,813.307,413.951,0,0,573.012,808.411,3.599,64.548,27.231,2.311,2.625,1.577,3.866,1.852,3024.12,7.166,1.805,1.756,2.895,0,0,42.917,73.355,89.788,1294.156,0,0.866,17.71,15.787,10.56,0,170.269,1030.303,599.383,7.327,1621.742,0,1099.477
"g520",0,0,109.976,29.312,53.457,18.59,0,320.777,0,103.034,70.324,0,0,0,0,0,0,20.068,0,0,0,0,5.249,0,345.353,27.787,0,16.123,0,19.321,0,0,0,0,0,0,0,3.326,0,0,0,2.64,464.945,0,0,0.862,32.057,0,31.017,7.602
"g521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g522",5.662,3442.292,47.726,0,2.056,19082.339,13.745,3.084,0,29.974,42.314,98.874,0,13.629,3.822,0,1.149,2.316,172.694,2.104,15.431,0.77,1.312,25.217,46.391,46.312,0,5.374,0,0.878,0,73.886,516.875,0.795,14.7,0,31.823,0,0,3.936,0,2.64,280.561,17.357,7.444,0,60.497,0,0,0
"g523",4.247,0,0,456.43,0,0,77.181,6.169,639.94,0,0,1272.299,2.918,64.43,0,0,0,31.646,1.799,0,44.477,0.77,57.743,25.233,0,0,0,0,0,0,0,0,7.803,1267.572,0,0,0,193.022,194.777,0,0,1.32,24.367,0,0.532,191.386,0,830.05,1139.428,183.715
"g524",0,0,0,0,4.112,0,0,0,2.256,0,0,2.354,4.377,0,0,0,1.149,0,0,0.701,0,1.541,0,0,0,3.705,1.768,5.41,0,0,0,0,2.128,0,4.619,0,0,0.627,0,0,0,2.64,0,0,1.595,0.862,0,0,0,3.801
"g525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0.774,0,2.837,0.836,0,0,0,0,0,0,0,0,0,0,0,0
"g526",0,0,0,1459.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.031,11.811,58.351,0,0,0,0,0,0,0,0,0,86.629,6.19,0.718,0.995,16.712,104.747,0,0,0,0,0,0,0.862,5984.702,0,38.771,0
"g527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g528",142.966,0,441.981,226.121,261.115,6.197,752.748,2023.299,295.48,943.964,210.656,2.354,977.497,277.545,203.822,0,328.154,283.269,1.799,751.879,4.393,15.406,246.72,18.925,0,418.661,338.312,182.724,0.902,27.225,555.862,64.65,16.288,0,0,18.677,358.349,20.89,457.941,0,0,80.523,750.11,56.015,308.934,92.245,0,22.662,15.509,19.005
"g529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g530",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g531",0,0,0,0,2.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g532",0,0,0,0,0,0,653.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g533",1.416,0,0,5.234,0,0,0,0,0,0,0,7.062,0,0,0,2.96,0,0,1.799,0,0,0,0,0,0,0,0,11.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g534",750.772,7.71,421.231,209.372,536.046,0,2.115,0,1609.193,831.722,1149.706,0,2.918,167.271,845.848,0,992.526,1457.868,1.799,0,664.859,65.261,1.312,2611.664,667.498,0,2465.212,1677.495,4659.553,1029.151,1400.878,208.994,180.897,1.59,0.774,1609.202,2701.659,280.676,2664.301,1.968,0,62.002,0.659,4480.845,2223.697,0,2167.125,0.985,2090.38,1057.172
"g535",697.733,0,8.508,6.365,6.23,0,16.398,2.622,9.406,197.573,0.689,5.061,81.658,4.547,0,2.844,5.569,1.459,5.83,11.222,1.18,15.607,13.189,0,1.843,14.542,1.768,5.84,16.578,1218.188,154.493,4.78,1.554,0.827,5.501,6.056,3.235,116.808,24.092,29.222,11.304,3.973,21.377,110.759,0.675,31.372,5.514,9.804,2.14,2.116
"g536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g537",0,0,0,0,0,0,2.115,3.084,24.811,0,6.637,0,0,162.314,0,5.804,8.046,0,0,0,1.815,114.776,0,0,0,0,0,0,0,7.026,27.986,0,0,7.153,0,28.734,0,34.259,40.687,0,15.787,0,1.317,3.156,2.659,0,0,12.809,60.483,5.068
"g538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g539",8.493,80.954,0,2.094,0,0,1.057,0,10.15,0,78.82,18.833,0,3.717,0,5.804,0.563,0,127.748,8.417,0,0.77,0,0,0,49.721,0,0,0,0,0.965,0,0,0,0,0,1.991,0.836,0,0,0,0,0.659,0,32.999,0,6.411,0,0,3.801
"g540",820.995,420.191,307.104,221.934,1883.317,3556.924,413.395,1295.444,1310.487,300.673,298.685,204.811,355.984,382.517,765.606,2577.907,749.416,2480.02,3075.01,478.341,171.554,219.539,389.713,484.158,228.088,1435.935,493.615,388.736,370.914,325.82,430.407,527.594,202.888,446.656,506.002,799.537,1849.407,400.007,356.658,0,0,27.721,601.314,803.947,707.198,38.794,351.715,630.587,1241.582,826.084
"g541",0,92.519,4.15,2.094,14.392,12.393,2.115,3.084,2.256,335.283,0.83,2.354,1.459,0,1244.74,5.804,0.575,0,0,16.132,0,134.05,0,0,0,1548.603,712.514,0,0,0,2.895,2.309,554.041,276.577,292.46,10.768,1.991,208.898,1001.584,1.968,0,0,0.659,3.945,2.127,0,57.703,3.941,4.653,1.267
"g542",2182.729,9834.597,554.032,732.801,1079.412,68.164,1940.64,67.857,2315.739,617.251,443.05,2913.963,1106.177,2886.049,2120.92,838.66,1856.28,2286,1498.632,1571.61,49.016,150.211,204.725,607.737,2523.127,872.52,114.922,1837.988,4152.312,670.846,1010.192,730.781,49.658,2484.986,886.532,674.535,3039.234,936.625,1145.858,159.39,483.089,403.511,3580.659,1275.765,1715.323,529.923,4469.551,27.588,2118.482,1473.52
"g543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g544",0,0,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.657,0,0,0,0,0,50.514,0,0,0,0,0
"g545",0,0,0,0,0,0,0,0,1.128,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g547",170.243,9.329,123.215,153.009,142.482,37.49,1.353,0,138.774,148.838,2.531,9.44,214.378,95.369,2.548,11.608,13.23,60.065,15.33,6.369,21.567,4.691,14.554,28.703,123.232,57.446,134.494,134.195,3.456,90.948,6.292,313.613,7.286,6.954,62.863,21.149,5.972,84.545,32.134,0,10.562,71.744,3.925,17.309,95.732,2.586,212.284,0,66.439,47.715
"g548",492.611,0,2.075,4.187,0,6.197,0,0,0,38.404,0,2.354,410.155,755.815,0,0,304.609,0.772,0,0,0,0,610.239,0,0,1.852,37.129,555.337,1.805,765.808,89.749,0,0,24.638,0,0,0,0,0,0,0,0,0,1264.152,1.595,0,38.469,22.662,0,0
"g549",139.116,443.321,44.966,125.623,78.088,0,339.576,195.859,71.614,116.148,215.053,2.354,56.17,223.238,159.873,350.641,178.445,61.362,0,107.893,52.891,90.897,94.961,95.412,78.607,60.113,156.771,130.791,304.131,193.648,80.571,201.456,111.376,290.088,106.384,132.538,150.805,127.01,111.603,46.243,6.315,334.631,93.516,245.755,111.126,51.295,120.71,138.414,69.788,117.831
"g550",1.416,2702.486,607.755,152.841,160.37,49.574,1.057,27.76,250.368,179.842,906.792,0,506.256,2.478,636.943,747.452,3.448,495.527,50.38,197.789,357.332,513.705,461.945,802.725,547.668,33.345,8.84,389.041,9.927,571.721,0,720.391,140.454,1184.138,51.064,400.846,16.922,76.248,0,0,0,0,843.632,322.038,0.532,117.211,1364.729,106.421,502.477,0
"g551",0,3.855,0,39.781,0,0,1.057,3.084,0,133.945,49.781,0,88.996,0,0,0,1769.505,0,0,773.622,0,0.77,667.983,190.825,0,0,464.92,202.429,0,0,621.446,0,102.154,0,0,5.029,14.951,0,10.379,0,0,3.96,0,0,250.97,0,0,0,0,0
"g552",0,0,0,0,0,0,0,0,0,0,0,0,408.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902,0.878,500.15,0,0,1.59,0,454.723,0,0,0,0,0,0,0,376.325,10.635,0,0.916,0,0,0
"g553",0,0,0,0,302.235,0,0,0,0,0,0,0,0,190.812,0,0,0,0,0,8.417,0,0,0,0,1.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.063,389.412,0,0,60.612,0,2.748,0,0,0
"g554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g555",2.831,0,323.559,60.194,4.112,1164.552,4.229,9.253,4.579,444.743,291.094,489.592,229.055,39.934,410.192,330.211,146.256,613.388,0,149.233,259.029,801.517,0,113.438,63.362,42.626,279.348,19.706,0,537.848,90.424,0,0,0.795,29.401,18.677,27.185,195.128,0,3.936,215.132,6.798,51.315,0,1.616,0.776,2.748,0.985,0,193.851
"g556",0,0,33.2,20.937,0,6.197,0,3.084,2.256,339.077,14.105,4.708,0,48.855,26.752,0,0.575,0,3.599,149.667,21.785,1.541,0,0,0,0,0,0,0,511.862,18.336,0,0.709,0,5.416,0,0,0,0,0,0,59.402,0,3.156,3.722,0,6.411,0,0,0
"g557",1.416,0,0,0,0,6.197,0,0,0,0.937,0,0,0,0,0,0,1.724,1.544,7.197,0,0,1116.952,1.312,1.577,0,0,0,0,69.49,2.635,0,0,0,3.179,0,10.775,0,0,0,7.871,4.736,19.801,0,0,1.595,3.448,3.664,0,1.551,1.267
"g558",150.044,73.244,1143.34,682.573,376.334,13129.573,732.343,129.544,977.272,195.765,1247.708,1170.011,1193.422,674.992,1118.473,243.763,1271.481,1049.336,46.799,1710.932,599.532,97.059,717.852,2177.83,170.099,574.27,113.154,856.294,694.881,11.417,1680.199,272.456,482.129,553.209,717.223,690.669,824.241,1019.867,511.059,0,6.331,55.574,438.675,433.129,884.982,1296.596,657.634,2695.967,835.895,222.992
"g559",201.002,50.076,2.075,119.342,4.112,0,97.301,3.084,18.067,0.937,329.375,2.354,17.507,1.239,864.256,0,493.295,0,0,23.847,355.816,0.77,0,537.542,1231.365,72.247,1.768,1.791,0,0,525.733,0,0,0,1013.566,0.718,0.995,106.956,742.748,1.968,379.225,1.32,1.976,631.153,165.899,4.31,1.832,1.971,620.341,0
